artist_id,artist_name,genres,artist_popularity,artist_followers,artist_profile,image,lg_image,md_image,sm_image
3LIJJJkO7R5RasRwt7xIn5,Mystikal,"['crunk', 'dirty south rap', 'gangster rap', 'new orleans rap']",52,729395,https://open.spotify.com/artist/3LIJJJkO7R5RasRwt7xIn5,https://i.scdn.co/image/99443414f1603cb47d783e1974148f3cb1de6f62,"(200, 200)","(64, 64)","(None, None)"
2eynOGnZLqDuEJwbRHlHN1,J.J. Fad,['old school hip hop'],30,59213,https://open.spotify.com/artist/2eynOGnZLqDuEJwbRHlHN1,https://i.scdn.co/image/ab6761610000e5ebf10deac09e37a420ef905997,"(640, 640)","(320, 320)","(160, 160)"
7gR53ad9JjCweCv4f9MWEX,Eddy Lover,"['panamanian pop', 'reggaeton']",58,466827,https://open.spotify.com/artist/7gR53ad9JjCweCv4f9MWEX,https://i.scdn.co/image/ab6761610000e5eb4209d5e4e36f2430ccb1e40d,"(640, 640)","(320, 320)","(160, 160)"
4cGkEwtOEuYPPXigM7Q0dM,The Greg Mayo Band,[],6,279,https://open.spotify.com/artist/4cGkEwtOEuYPPXigM7Q0dM,https://i.scdn.co/image/ab67616d0000b27306778541ccd7ae7db0500592,"(640, 640)","(300, 300)","(64, 64)"
6iWBjg4b4ll4jLiParnWXT,Bart Skils,"['deep minimal techno', 'minimal techno', 'techno']",41,52381,https://open.spotify.com/artist/6iWBjg4b4ll4jLiParnWXT,https://i.scdn.co/image/ab6761610000e5eb0827eea4a4234bcdac3ce59c,"(640, 640)","(320, 320)","(160, 160)"
0NJbkbtOgSj2Q5bkUV3FPz,Polo Montañez,['son cubano'],49,62116,https://open.spotify.com/artist/0NJbkbtOgSj2Q5bkUV3FPz,https://i.scdn.co/image/ab67616d0000b2738296848031aab0571d7f4e27,"(640, 640)","(300, 300)","(64, 64)"
6mU8ucezzms5I2kNH6HNlu,Conor Maynard,"['post-teen pop', 'talent show', 'uk pop', 'viral pop']",61,2076538,https://open.spotify.com/artist/6mU8ucezzms5I2kNH6HNlu,https://i.scdn.co/image/ab6761610000e5eb9cf43d8fd322fb5abc2c3d4b,"(640, 640)","(320, 320)","(160, 160)"
0EdvGhlC1FkGItLOWQzG4J,Sublime,"['rap rock', 'reggae fusion', 'ska mexicano', 'ska punk']",69,2744695,https://open.spotify.com/artist/0EdvGhlC1FkGItLOWQzG4J,https://i.scdn.co/image/ab6761610000e5ebe726280500259dbdb97a8be4,"(640, 640)","(320, 320)","(160, 160)"
2mV8aJphiSHYJf43DxL7Gt,Chromeo,"['alternative dance', 'dance rock', 'filter house', 'indietronica', 'neo-synthpop', 'new rave', 'nu disco']",51,394633,https://open.spotify.com/artist/2mV8aJphiSHYJf43DxL7Gt,https://i.scdn.co/image/ab6761610000e5eb017399838e5064b16f01e4c1,"(640, 640)","(320, 320)","(160, 160)"
3wc57nV2fGEoM8x4xPK1O9,Dixon,"['deep disco house', 'german house', 'microhouse', 'minimal techno']",34,88488,https://open.spotify.com/artist/3wc57nV2fGEoM8x4xPK1O9,https://i.scdn.co/image/ab6761610000e5eb41f62c7b289ea3307750179b,"(640, 640)","(320, 320)","(160, 160)"
