af_track_id,af_danceability,af_energy,af_loudness,af_mode,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,af_key,af_speechiness,af_time_signature,af_duration_ms
6f807x0ima9a1j3VPbc7VN,0.748,0.916,-2.634,1,0.102,0.0,0.0653,0.518,122.036,6,0.0583,4,194754
0r7CVbZTWZgbTCYdfa2P31,0.726,0.815,-4.969,1,0.0724,0.00421,0.357,0.693,99.972,11,0.0373,4,162600
1z1Hg7Vb0AhHDiEmnDE79l,0.675,0.931,-3.432,0,0.0794,2.33e-05,0.11,0.613,124.008,1,0.0742,4,176616
75FpbthrwQmzHlBJLuGdC7,0.718,0.93,-3.777,1,0.0287,8.29e-06,0.204,0.28,121.956,7,0.101,4,169093
1e8PAfcKUYoKkxPhrHqw4x,0.65,0.833,-4.672,1,0.0803,0.0,0.0833,0.725,123.976,1,0.0359,4,189052
7fvUMiyapMsRRxr07cU8Ef,0.675,0.919,-5.385,1,0.0799,0.0,0.143,0.585,124.982,8,0.127,4,163049
2OAylPUDDfwRGfe0lYqlCQ,0.449,0.856,-4.788,0,0.187,0.0,0.176,0.152,112.648,5,0.0623,4,187675
6b1RNvAcJjQH73eZO4BLAB,0.542,0.903,-2.419,0,0.0335,4.83e-06,0.111,0.367,127.936,4,0.0434,4,207619
7bF6tCO3gFb8INrEDcjNT5,0.594,0.935,-3.562,1,0.0249,3.97e-06,0.637,0.366,127.015,8,0.0565,4,193187
1IXGILkPm0tOCNeq00kCPa,0.642,0.818,-4.552,1,0.0567,0.0,0.0919,0.59,124.957,2,0.032,4,253040
3eFJI470ALf1EYjywPRsJy,0.679,0.923,-6.5,1,0.146,4.92e-06,0.124,0.752,121.984,6,0.181,4,207894
3iJeF2izF1QcpCgUc97BLl,0.437,0.774,-4.918,1,0.148,0.0,0.133,0.329,123.125,8,0.0554,4,203733
6e0CvGZf7CouOpYF8toXHC,0.744,0.726,-4.675,1,0.0399,0.0,0.374,0.687,121.985,1,0.0463,4,192507
3eLdNmnRWr9gIyBcqTSSti,0.572,0.915,-4.451,0,0.0111,0.0,0.339,0.678,123.919,5,0.0625,4,164516
55nMnifaQWKe3f9cbwOXwx,0.69,0.78,-4.446,0,0.00733,0.00183,0.0729,0.238,126.07,5,0.0594,4,255238
1EJgymgJHcjSOGSHcYaxvW,0.805,0.835,-4.603,1,0.13,5.03e-06,0.365,0.722,125.027,0,0.0896,4,188230
5WaXMQMlQpq8pwIdaFP43L,0.694,0.901,-4.322,0,0.0702,0.0,0.427,0.368,118.051,1,0.0948,4,173548
3TjLsDgL0bTbSQIF6M5Ki8,0.678,0.747,-5.289,0,0.0395,0.0,0.174,0.516,120.002,10,0.165,4,189375
